data_coleta;hora_utc;temp_ins;temp_max;temp_min;umi_ins;umi_max;umi_min;pressao_ins;vel_vento;chuva_mm;horas_uso;vibracao_motor;proximidade_agua;declividade;qtidade_falhas
01/03/2026;0000;19,9;21,4;19,9;77;77;69;925,9;0,5;0;339;4,26;1764;13;4
01/03/2026;0100;18,7;19,9;18,7;82;82;77;926,3;1,1;0;349;0,77;1116;10;2
01/03/2026;0200;17,9;18,7;17,9;84;84;81;926,8;0,5;0;348;0,68;663;6;0
01/03/2026;0300;17,5;18;17,5;87;87;84;926,5;1,1;0;194;3,41;1993;10;3
01/03/2026;0400;17,4;17,7;17,4;87;87;86;926,2;0,6;0;131;3,92;868;3;8
01/03/2026;0500;17;17,4;17;89;89;87;925,7;0,7;0;134;2,86;703;8;5
01/03/2026;0600;16,7;17;16,7;91;91;89;925,4;0,6;0;132;3,22;1009;4;1
01/03/2026;0700;16,6;16,9;16,6;88;91;88;925,3;0,9;0;380;3,79;935;22;7
01/03/2026;0800;16,5;16,8;16,5;87;88;86;925,5;1,4;0;119;2,61;1820;16;9
01/03/2026;0900;16,2;16,5;15,9;91;91;87;925,7;0,7;0;462;1,41;359;14;5
01/03/2026;1000;17;17;16,1;86;91;86;926;1,1;0;367;0,89;121;7;1
01/03/2026;1100;18,3;18,3;17;81;86;80;926,8;0,5;0;237;1,2;960;3;3
01/03/2026;1200;19,5;20,1;18,4;72;81;71;927,1;0;0;233;0,82;1408;10;0
01/03/2026;1300;21,7;21,9;19,5;61;72;61;927,3;0;0;390;3,62;575;20;10
01/03/2026;1400;21,6;22,2;20,6;62;67;61;927,2;0;0;349;2,59;1286;15;1
01/03/2026;1500;23;24;21,3;57;63;54;926,6;0;0;416;2,01;649;1;8
01/03/2026;1600;24,2;25;22,1;52;59;50;925,8;0;0;355;4,8;1304;21;1
01/03/2026;1700;24,5;25,1;23,5;50;56;49;925,3;0;0;359;3,24;1950;3;0
01/03/2026;1800;25,2;26,1;23,9;48;52;46;924,8;0;0;346;3,4;1314;21;4
01/03/2026;1900;24,7;25,1;23,7;51;53;48;924,6;0;0;241;4,69;1002;24;6
01/03/2026;2000;24,4;25,4;24,2;49;52;48;924,4;0;0;229;2,5;1084;20;5
01/03/2026;2100;23,9;25;23,7;53;54;48;924,2;0;0;157;2,46;1944;28;9
01/03/2026;2200;21,8;23,8;21,8;66;66;53;924,5;0;0;370;4,45;1546;29;8
01/03/2026;2300;19,8;21,8;19,8;77;77;66;924,9;0;0;95;4,48;128;2;0
02/03/2026;0000;18,4;19,8;18,4;83;83;77;925,6;0;0;109;2,49;121;4;4
02/03/2026;0100;17,5;18,4;17,5;84;84;83;926,2;0;0;293;2,39;425;26;4
02/03/2026;0200;17,1;17,5;17,1;83;84;83;926,2;0;0;321;2,5;261;26;1
02/03/2026;0300;16,8;17,2;16,8;83;83;82;926,3;0;0;491;3,71;433;16;1
02/03/2026;0400;16,5;16,8;16,4;85;85;83;925,9;0,2;0;110;3,87;1785;21;7
02/03/2026;0500;15,9;16,5;15,9;88;88;85;925,4;0,7;0;379;2,27;849;12;0
02/03/2026;0600;15,7;15,9;15,6;90;90;88;924,8;0,1;0;388;3,15;1855;30;2
02/03/2026;0700;15,4;15,7;15,3;92;92;90;925;0,9;0;98;0,94;1305;16;1
02/03/2026;0800;15,7;15,7;15,4;90;92;89;924,8;0,8;0;163;0,58;960;1;7
02/03/2026;0900;15,7;15,7;15,5;88;90;88;925,3;0,9;0;71;2,51;1196;27;6
02/03/2026;1000;15,9;15,9;15,2;90;91;88;925,7;0,3;0;190;1,27;866;16;10
02/03/2026;1100;17,2;17,3;15,8;85;90;85;926,1;0,2;0;250;0,68;105;26;9
02/03/2026;1200;19,4;19,4;17,2;74;85;73;926,8;0,1;0;164;1,29;414;13;4
02/03/2026;1300;20,8;21,3;19,2;68;74;66;926,9;0;0;75;0,38;729;2;4
02/03/2026;1400;22,9;22,9;20,8;61;69;60;926,7;0;0;327;4,19;1297;4;4
02/03/2026;1500;24,4;24,6;22,1;55;64;53;926,1;0;0;70;3,46;138;11;8
02/03/2026;1600;24,9;25,4;23,6;51;58;49;925,6;0;0;59;1,13;851;0;3
02/03/2026;1700;25,6;26,3;24,5;49;52;46;924,9;0;0;422;1,4;630;2;6
02/03/2026;1800;25,9;26,9;25;48;51;45;924,6;0;0;369;3,78;1037;18;1
02/03/2026;1900;25,5;26,9;25,1;48;49;44;924,4;0;0;443;2,85;1774;3;6
02/03/2026;2000;25,9;26,5;25,2;46;48;44;924,3;0;0;287;4,09;590;20;9
02/03/2026;2100;24,6;25,9;24,6;50;50;46;924,3;0;0;82;1,25;95;5;2
02/03/2026;2200;22,4;24,6;22,4;62;62;50;924,4;0;0;228;1,38;1637;1;3
02/03/2026;2300;20,9;22,4;20,9;70;70;62;924,8;0;0;425;2,72;262;17;10
03/03/2026;0000;19,5;20,9;19,5;77;77;70;925,5;0;0;163;1,54;1250;22;4
03/03/2026;0100;18,6;19,5;18,6;80;81;77;926,2;0;0;446;4,31;1894;10;8
03/03/2026;0200;17,7;18,6;17,7;84;84;80;926,5;0;0;334;0,37;439;2;9
03/03/2026;0300;17,1;17,7;17,1;87;87;84;926,4;1;0;387;3,69;683;6;3
03/03/2026;0400;16,9;17,1;16,8;87;87;86;925,9;0,9;0;363;3,65;1526;6;3
03/03/2026;0500;16,6;16,9;16,6;88;88;86;925,5;0,7;0;313;4,57;126;9;5
03/03/2026;0600;15,8;16,6;15,8;90;90;88;925,2;1,5;0;298;3,26;215;27;4
03/03/2026;0700;15,8;15,8;15,5;92;92;90;925;1,2;0;279;2,49;1490;1;6
03/03/2026;0800;15,6;15,9;15,6;89;92;89;925,4;0,6;0;118;2,33;530;5;9
03/03/2026;0900;15,4;15,6;15,3;91;91;89;925,5;0,5;0;315;0,8;557;29;1
03/03/2026;1000;15,9;15,9;15,3;88;91;88;926,1;1,2;0;104;1,31;379;14;10
03/03/2026;1100;16,7;16,8;15,9;86;88;86;926,8;0,4;0;74;3,37;1148;19;9
03/03/2026;1200;18,5;18,6;16,7;79;87;78;927,3;0,6;0;486;1,75;517;12;0
03/03/2026;1300;20,5;20,5;18,3;69;79;68;927,5;0,5;0;280;4,77;1088;24;8
03/03/2026;1400;22,6;23;20,1;60;70;59;927,3;0,8;0;365;0,39;165;23;1
03/03/2026;1500;25;25;22,4;53;63;50;926,8;0,9;0;90;3,49;1374;11;5
03/03/2026;1600;26,3;26,4;24,2;40;53;38;926,3;1,2;0;376;4,8;1756;27;10
03/03/2026;1700;26,1;27;25,3;43;45;39;925,6;0,9;0;233;1,16;810;22;6
03/03/2026;1800;27,1;28,3;26,1;39;44;36;925;0,9;0;496;3,3;904;20;0
03/03/2026;1900;27,8;28;26,8;38;41;37;924,7;0,9;0;287;3,59;172;20;0
